Date,gold,copper,silver,oil,gold_copper,gold_silver,oil_gold
2008-01-01,922.7,3.2895,16.948,91.75,280.4986,54.443,0.0994
2008-02-01,972.1,3.852,19.808,101.84,252.3624,49.0761,0.1048
2008-03-01,916.2,3.8635,17.275,101.58,237.1425,53.0362,0.1109
2008-04-01,862.8,3.934,16.502,113.46,219.3188,52.2846,0.1315
2008-05-01,887.3,3.628,16.827,127.35,244.57,52.7307,0.1435
2008-07-01,913.9,3.7165,17.75,124.08,245.9034,51.4873,0.1358
2008-08-01,829.3,3.4295,13.607,115.46,241.8137,60.9466,0.1392
2008-09-01,874.2,2.888,12.231,100.64,302.7008,71.4741,0.1151
2008-10-01,716.8,1.844,9.73,67.81,388.7202,73.6691,0.0946
2008-11-01,816.2,1.6235,10.185,54.43,502.741,80.1375,0.0667
2008-12-01,883.6,1.395,11.27,44.6,633.405,78.4028,0.0505
2009-01-01,927.3,1.462,12.56,41.68,634.2681,73.8296,0.0449
2009-04-01,890.7,2.053,12.305,51.12,433.8529,72.3852,0.0574
2009-05-01,978.8,2.1975,15.6,66.31,445.4152,62.7436,0.0677
2009-06-01,927.1,2.258,13.574,69.89,410.5846,68.2997,0.0754
2009-07-01,953.7,2.6165,13.933,69.45,364.4946,68.449,0.0728
2009-08-01,951.7,2.808,14.898,69.96,338.9245,63.8811,0.0735
2009-09-01,1008.0,2.809,16.636,70.61,358.8466,60.5915,0.07
2009-10-01,1039.7,2.9475,16.246,77.0,352.7396,63.9973,0.0741
2009-12-01,1095.2,3.3275,16.822,79.36,329.136,65.1052,0.0725
2010-01-01,1083.0,3.046,16.183,72.89,355.5483,66.9221,0.0673
2010-02-01,1118.3,3.2685,16.5,79.66,342.1447,67.7758,0.0712
2010-03-01,1113.3,3.546,17.512,83.76,313.9594,63.5736,0.0752
2010-04-01,1180.1,3.3375,18.611,86.15,353.588,63.4087,0.073
2010-05-01,1212.2,3.097,18.411,73.97,391.411,65.8411,0.061
2010-06-01,1245.5,2.936,18.671,75.63,424.2166,66.7077,0.0607
2010-07-01,1181.7,3.307,17.987,78.95,357.3329,65.6974,0.0668
2010-09-01,1307.8,3.646,21.798,79.97,358.6945,59.9963,0.0611
2010-10-01,1357.1,3.732,24.56,81.43,363.6388,55.2565,0.06
2010-11-01,1385.0,3.823,28.185,84.11,362.2809,49.1396,0.0607
2010-12-01,1421.1,4.4395,30.91,91.38,320.1036,45.9754,0.0643
2011-01-01,1333.8,4.451,28.174,92.19,299.663,47.3415,0.0691
2011-02-01,1409.3,4.478,33.804,96.97,314.7164,41.6903,0.0688
2011-03-01,1438.9,4.3,37.872,106.72,334.6279,37.9938,0.0742
2011-04-01,1556.0,4.1655,48.584,113.93,373.5446,32.027,0.0732
2011-06-01,1502.3,4.272,34.812,95.42,351.662,43.1547,0.0635
2011-07-01,1628.3,4.474,40.092,95.7,363.9473,40.6141,0.0588
2011-08-01,1828.5,4.187,41.699,88.81,436.7089,43.85,0.0486
2011-09-01,1620.4,3.145,30.041,79.2,515.2305,53.9396,0.0489
2011-10-01,1724.2,3.629,34.337,93.19,475.1171,50.2141,0.054
2011-11-01,1745.5,3.563,32.731,100.36,489.8962,53.3287,0.0575
2011-12-01,1565.8,3.4315,27.875,98.83,456.3019,56.1722,0.0631
2012-02-01,1709.9,3.8705,34.583,107.07,441.7775,49.4434,0.0626
2012-03-01,1669.3,3.824,32.469,103.02,436.5325,51.4121,0.0617
2012-05-01,1562.6,3.3625,27.741,86.53,464.7138,56.3282,0.0554
2012-06-01,1603.5,3.49,27.58,84.96,459.4556,58.14,0.053
2012-08-01,1684.6,3.454,31.37,96.47,487.7244,53.701,0.0573
2012-09-01,1771.1,3.773,34.517,92.19,469.4143,51.311,0.0521
2012-10-01,1717.5,3.527,32.288,86.24,486.9578,53.1931,0.0502
2012-11-01,1710.9,3.6295,33.204,88.91,471.3873,51.5269,0.052
2012-12-01,1674.8,3.641,30.173,91.82,459.9835,55.5066,0.0548
2013-01-01,1660.6,3.7235,31.335,97.49,445.9782,52.9951,0.0587
2013-02-01,1577.7,3.5275,28.395,92.05,447.2573,55.5626,0.0583
2013-03-01,1594.8,3.395,28.292,97.23,469.7496,56.3693,0.061
2013-04-01,1472.2,3.1875,24.144,93.46,461.8667,60.9758,0.0635
2013-05-01,1392.6,3.289,22.228,91.97,423.4114,62.6507,0.066
2013-06-01,1223.8,3.0505,19.451,96.56,401.1802,62.9171,0.0789
2013-07-01,1312.4,3.1185,19.617,105.03,420.8434,66.9012,0.08
2013-08-01,1396.1,3.225,23.463,107.65,432.8992,59.5022,0.0771
2013-10-01,1323.6,3.2945,21.832,96.38,401.7605,60.6266,0.0728
2013-11-01,1250.6,3.2305,19.981,92.72,387.1227,62.5895,0.0741
2014-01-01,1240.1,3.2205,19.105,97.49,385.0644,64.9097,0.0786
2014-02-01,1321.4,3.2385,21.204,102.59,408.0284,62.3184,0.0776
2014-03-01,1283.4,3.0465,19.734,101.58,421.2703,65.035,0.0791
2014-04-01,1295.6,3.0295,19.119,99.74,427.6613,67.7651,0.077
2014-05-01,1245.6,3.136,18.653,102.71,397.1939,66.7775,0.0825
2014-07-01,1281.3,3.223,20.373,98.17,397.5489,62.8921,0.0766
2014-08-01,1285.8,3.135,19.398,95.96,410.1436,66.2852,0.0746
2014-09-01,1210.5,3.0055,17.006,91.16,402.7616,71.1808,0.0753
2014-10-01,1171.1,3.061,16.077,80.54,382.5874,72.8432,0.0688
2014-11-01,1175.2,2.86,15.489,66.15,410.9091,75.8732,0.0563
2014-12-01,1183.9,2.8385,15.565,53.27,417.0865,76.0617,0.045
2015-01-01,1278.5,2.528,17.192,48.24,505.7357,74.366,0.0377
2015-04-01,1182.4,2.8865,16.124,59.63,409.6311,73.3317,0.0504
2015-05-01,1189.4,2.7595,16.684,60.3,431.0201,71.2899,0.0507
2015-06-01,1171.5,2.6235,15.551,59.47,446.5409,75.3328,0.0508
2015-07-01,1094.9,2.3675,14.746,47.12,462.471,74.2506,0.043
2015-08-01,1131.6,2.338,14.577,49.2,484.0034,77.6291,0.0435
2015-09-01,1115.5,2.3455,14.513,45.09,475.5916,76.8621,0.0404
2015-10-01,1141.5,2.3135,15.566,46.59,493.4083,73.3329,0.0408
2015-12-01,1060.3,2.1255,13.775,37.04,498.8474,76.9728,0.0349
2016-01-01,1116.4,2.064,14.229,33.62,540.8915,78.4595,0.0301
2016-02-01,1233.9,2.1285,14.896,33.75,579.704,82.8343,0.0274
2016-03-01,1234.2,2.1815,15.46,38.34,565.7575,79.8318,0.0311
2016-04-01,1289.2,2.279,17.789,45.92,565.6867,72.4718,0.0356
2016-06-01,1318.4,2.1945,18.582,48.33,600.7747,70.9504,0.0367
2016-07-01,1349.0,2.2205,20.312,41.6,607.5208,66.4139,0.0308
2016-08-01,1306.9,2.0695,18.622,44.7,631.5052,70.1804,0.0342
2016-09-01,1313.3,2.202,19.139,48.24,596.4124,68.6191,0.0367
2016-10-01,1271.5,2.2005,17.762,46.86,577.8232,71.5854,0.0369
2016-11-01,1170.8,2.6215,16.406,49.44,446.6145,71.3641,0.0422
2016-12-01,1150.0,2.4975,15.936,53.72,460.4605,72.1637,0.0467
2017-02-01,1252.6,2.704,18.42,54.01,463.2396,68.0022,0.0431
2017-03-01,1247.3,2.6465,18.235,50.6,471.3017,68.4014,0.0406
2017-04-01,1266.1,2.5965,17.191,49.33,487.618,73.649,0.039
2017-05-01,1272.0,2.577,17.368,48.32,493.5972,73.2381,0.038
2017-06-01,1240.7,2.699,16.568,46.04,459.6888,74.8853,0.0371
2017-07-01,1266.6,2.888,16.75,50.17,438.5734,75.6179,0.0396
2017-08-01,1316.2,3.079,17.48,47.23,427.4764,75.2975,0.0359
2017-09-01,1281.5,2.9375,16.607,51.67,436.2553,77.1663,0.0403
2017-11-01,1273.2,3.037,16.382,57.4,419.2295,77.7194,0.0451
2017-12-01,1306.3,3.2795,17.06,60.42,398.3229,76.5709,0.0463
2018-01-01,1339.0,3.184,17.204,64.73,420.5402,77.8307,0.0483
2018-02-01,1315.5,3.1075,16.324,61.64,423.3306,80.5869,0.0469
2018-03-01,1322.8,3.019,16.223,64.94,438.1583,81.5386,0.0491
2018-05-01,1300.1,3.058,16.402,67.04,425.1471,79.2647,0.0516
2018-06-01,1251.3,2.951,16.104,74.15,424.0258,77.7012,0.0593
2018-08-01,1200.3,2.649,14.438,69.8,453.1144,83.1348,0.0582
2018-09-01,1191.5,2.787,14.623,73.25,427.5206,81.4812,0.0615
2018-10-01,1212.3,2.6635,14.229,65.31,455.153,85.1992,0.0539
2018-11-01,1220.2,2.7775,14.094,50.93,439.3159,86.5758,0.0417
2018-12-01,1278.3,2.628,15.433,45.41,486.4155,82.829,0.0355
2019-01-01,1319.7,2.789,16.022,53.79,473.1803,82.368,0.0408
2019-02-01,1312.8,2.95,15.538,57.22,445.017,84.4896,0.0436
2019-03-01,1293.0,2.936,15.06,60.14,440.3951,85.8566,0.0465
2019-04-01,1282.8,2.9015,14.9,63.91,442.1162,86.094,0.0498
2019-05-01,1305.8,2.646,14.53,53.5,493.4997,89.8692,0.041
2019-06-01,1409.7,2.7055,15.253,58.47,521.0497,92.4212,0.0415
2019-07-01,1426.1,2.658,16.346,58.58,536.5312,87.2446,0.0411
2019-08-01,1519.1,2.533,18.185,55.1,599.7236,83.5359,0.0363
2019-10-01,1511.4,2.633,18.014,54.18,574.0221,83.9014,0.0358
2019-11-01,1465.6,2.642,16.969,55.17,554.7313,86.3693,0.0376
2020-01-01,1582.9,2.52,17.972,51.56,628.1349,88.0759,0.0326
2020-02-01,1564.1,2.546,16.387,44.76,614.3362,95.4476,0.0286
2020-04-01,1684.2,2.354,14.898,18.84,715.463,113.0487,0.0112
2020-05-01,1736.9,2.4265,18.44,35.49,715.8046,94.192,0.0204
2020-06-01,1793.0,2.7135,18.541,39.27,660.7702,96.7046,0.0219
2020-07-01,1962.8,2.859,24.189,40.27,686.5338,81.1443,0.0205
2020-08-01,1967.6,3.041,28.437,42.61,647.024,69.1915,0.0217
2020-09-01,1887.5,3.0285,23.433,40.22,623.2458,80.5488,0.0213
2020-10-01,1877.4,3.0435,23.617,35.79,616.8556,79.4936,0.0191
2020-12-01,1893.1,3.514,26.332,48.52,538.7308,71.8935,0.0256
2021-01-01,1847.3,3.5735,26.9,52.2,516.9442,68.6729,0.0283
2021-02-01,1728.1,4.0945,26.402,61.5,422.054,65.4534,0.0356
2021-03-01,1713.8,4.003,24.517,59.16,428.1289,69.9025,0.0345
2021-04-01,1767.3,4.479,25.853,63.58,394.5747,68.3596,0.036
2021-05-01,1902.5,4.6825,27.993,66.32,406.3001,67.9634,0.0349
2021-06-01,1770.8,4.2965,26.165,73.47,412.1494,67.6782,0.0415
2021-07-01,1812.6,4.4805,25.528,73.95,404.553,71.0044,0.0408
2021-09-01,1755.3,4.09,22.021,75.03,429.1687,79.7103,0.0427
2021-10-01,1783.0,4.3755,23.945,83.57,407.4963,74.4623,0.0469
2021-11-01,1773.6,4.278,22.765,66.18,414.5863,77.9091,0.0373
2021-12-01,1827.5,4.455,23.328,75.21,410.2133,78.3393,0.0412
2022-01-01,1795.0,4.318,22.395,88.15,415.7017,80.1518,0.0491
2022-02-01,1899.4,4.4445,24.361,95.72,427.3597,77.9689,0.0504
2022-03-01,1949.2,4.743,25.121,100.28,410.9635,77.5924,0.0514
2022-04-01,1909.3,4.395,23.04,104.69,434.4255,82.8689,0.0548
2022-06-01,1804.1,3.7145,20.282,105.76,485.6912,88.9508,0.0586
2022-07-01,1762.9,3.584,20.156,98.62,491.8806,87.4628,0.0559
2022-08-01,1712.8,3.5185,17.762,89.55,486.7984,96.4306,0.0523
2022-09-01,1662.4,3.442,18.96,79.49,482.975,87.6793,0.0478
2022-10-01,1635.9,3.4135,19.125,86.53,479.2442,85.5373,0.0529
2022-11-01,1746.0,3.7295,21.55,80.55,468.1593,81.0209,0.0461
2022-12-01,1819.7,3.8055,23.862,80.26,478.1763,76.2593,0.0441
2023-02-01,1828.9,4.0975,20.961,77.05,446.3454,87.2525,0.0421
2023-03-01,1969.0,4.1045,24.076,75.67,479.7174,81.7827,0.0384
2023-04-01,1990.1,3.87,24.999,76.78,514.2377,79.6072,0.0386
2023-05-01,1963.9,3.631,23.474,68.09,540.8703,83.6628,0.0347
2023-06-01,1921.1,3.741,22.81,70.64,513.5258,84.2218,0.0368
2023-07-01,1970.5,3.9945,24.854,81.8,493.3033,79.283,0.0415
2023-08-01,1938.2,3.7725,24.472,83.63,513.7707,79.2007,0.0431
2023-09-01,1848.1,3.726,22.236,90.79,496.0011,83.113,0.0491
2023-11-01,2038.1,3.829,25.293,75.96,532.28,80.5796,0.0373
2023-12-01,2062.3999,3.8805,23.853,71.65,531.4779,86.4629,0.0347
2024-01-01,2048.3999,3.9025,23.051,75.85,524.8943,88.8638,0.037
2024-02-01,2045.7,3.8345,22.666,78.26,533.4985,90.2541,0.0383
2024-03-01,2217.3999,4.0035,24.797,83.17,553.8653,89.4221,0.0375
2024-04-01,2291.3999,4.5645,26.391,81.93,502.0046,86.825,0.0358
2024-05-01,2322.8999,4.61,30.297,76.99,503.8828,76.671,0.0331
2024-06-01,2327.7,4.3905,29.237,81.54,530.1674,79.6149,0.035
2024-07-01,2426.5,4.16,28.778,77.91,583.2933,84.3179,0.0321
2024-08-01,2493.8,4.145,28.731,73.55,601.6405,86.7982,0.0295
2024-10-01,2738.3,4.3135,32.653,69.26,634.8209,83.8606,0.0253
2024-11-01,2657.0,4.0805,30.685,68.0,651.1457,86.5895,0.0256
2025-01-01,2812.5,4.262,32.128,72.53,659.9014,87.5405,0.0258
2025-02-01,2836.8,4.5145,31.219,69.76,628.3752,90.8677,0.0246
2025-03-01,3122.8,5.02,34.457,71.48,622.0717,90.6289,0.0229
2025-04-01,3305.0,4.56,32.531,58.21,724.7807,101.5954,0.0176
2025-05-01,3288.8999,4.6525,32.892,60.79,706.9102,99.9909,0.0185
2025-07-01,3293.2,4.3305,36.552,69.26,760.4664,90.0963,0.021
2025-08-01,3473.7,4.5185,40.2,64.01,768.7728,86.4104,0.0184
2025-09-01,3840.8,4.805,46.253,62.37,799.3341,83.0389,0.0162
2025-10-01,3982.2,5.0655,47.994,60.98,786.1416,82.9729,0.0153
2025-11-01,4218.2998,5.1855,56.446,58.55,813.4798,74.7316,0.0139
2025-12-01,4325.6001,5.63,70.134,57.42,768.3126,61.6762,0.0133
2026-01-01,4713.8999,5.897,78.29,65.21,799.3726,60.2108,0.0138
2026-04-01,4614.7002,5.926,73.534,105.07,778.7209,62.756,0.0228
2026-05-01,4560.5,6.3595,75.616,87.36,717.1161,60.3113,0.0192
2026-06-01,4022.8999,6.1925,59.477,69.5,649.6407,67.6379,0.0173
2026-07-01,4049.1001,6.436,57.591,84.67,629.133,70.3079,0.0209
